text	size
guidimaka	1
central greece	1
west antarctica (or lesser antarctica)	1
michigan	2
amazon	2
wojewÃ_dztwo Å›wiÄ™tokrzyskie	1
circular head	1
land berlin	1
san pedro sula	1
herald harbor	1
independent state of papua new guinea	1
san fernando del valle de catamarca	2
democratic republic of the congo	7
hangzhou	1
republic of sierra leone	1
middle island	2
salt lake city	18
san joaquin valley national cemetery	1
san bernardino county	1
690 estacion marly	1
japan	6
lake sidney	1
camp springs	1
edisto river	1
latin america and the caribbean	1
half tide beach	1
kilÃ_metro 58	1
york height	1
yellowstone river historical marker	1
motel 6 salinas south monterey area	1
science city of muÃ±oz	2
united arab emirates	5
nashville	1
san nicolas island	1
administrative zone 1	1
administrative zone 3	2
administrative zone 2	1
labelle	1
rainbow city	1
dc ranch	4
medina seringe mass	1
utrik atoll	1
libya	6
explore park	1
northwest arctic borough	411
paris 12	1
beaumont-de-pertuis	1
dominique	1
czech republic	1
eastern asia	5
kingdom of sweden	12
partido de tres de febrero	1
sundays river valley	1
bel air	8
tennessee	3
little washita river site 30 dam	1
golden plains	1
fernando de la toba lote 140	1
route 518 business park	3
columbia glacier	1
java	2
scaling oil field	1
mineralnye vody	5
federal democratic republic of ethiopia	1
áº¥p h má»™t	2
louisiana	1
cheyenne	1
town of venus	2
town of central valley	1
rocky mountain house airport	2
macquarie island	1
hendricks county	1
atlanta	1
city of half moon bay	3
great lakes	4
mesa county	1
georgia	12
islamic republic of afghanistan	2
fort davis	2
city of overland park	2
oak ridge	1
atlantic county	2
south carolina	9
mount compass	1
kapp linnÃ©	6
loop	53
ostanovochnyy punkt 355 km	15
san juan	29
kingsley no. 124	1
2nd leg glass breakwater - usn built ww2	1
republic of france	3
mexico	6
quinta lÃ©gua	10
black mountains	1
union of burma	1
iowa	2
hodh ech chargui	1
mount desert chamber of commerce	1
wash clothes	1
whitehead	2
chukchi sea	3
kingdom of cambodia	1
sector 4	1
scott no. 98	6
muá¸©aÅ£Å£at á¸‘akhkh ayj thalÄÅthah	1
town of lambert	1
new style church	2
ocean county	8
keys	1
republican river flood of 1935 historical marker	1
mecca hills wilderness	1
islamic republic of pakistan	2
gerenzago	1
dominican republic	4
piermont marsh component hudson river national estuarine research reserve	1
pennsylvania	2
chateau star river pudong the leading hotels	1
commonwealth of australia	6
central greece and euboea	1
alabama	9
kauai county	1
cisai-saint-aubin	1
long island sound	1
savannah	1
double header mine	1
saint martin du touch	2
kilÃ_metro 55	5
seal beach	1
taiwan	2
shannopin country club	1
hudson river mobile home park	2
republic of chad	1
greenwich	1
mountain view	1
republic of iraq	1
berkeley county	1
pacific county	7
christian extended family	1
lyell fork merced river	2
big dalton 32-000 dam	1
dubai internet city	1
"district 6, potomac river (historical)"	1
utah	2
delaware river access area	1
tel aviv	2
poncione del rosso	1
dubai	3
massachusetts state police department troop a3	1
mackenzie river	1
western europe	1
disentis	1
greenland	1
since jean gerot	1
menlo park	1
madrid	12
la jolla	1
some	4
malaysia	3
hoover	1
yellowstone national park	1
stranded jp midget attack submarine type c ww2	11
mission viejo	2
delaware	6
lake st. andrew	1
sunset lake	1
south america	323
savannah river plant heliport	2
há»™i an	1
red river county	2
republic of the philippines	1
"lompoc, vandenberg air force base"	2
columbus	1
ute mountain reservation	2
south georgia and the south sandwich islands	1
lakes	3
village of elk creek	2
east branch little muskegon river	1
upper nile	4
new mexico	2
magic dam	3
rwenzori mountains national park	1
mississippi river delta	1
wood river	1
port-au-prince	1
detroit lakes	2
town of bermuda run	1
kingdom of saudi arabia	1
bay of plenty	1
melbourne	2
city and county of san francisco	9
sacramento river fire protection district grand island station	1
federated states of micronesia	1
grand duchy of luxembourg	2
colorado	18
yilingsanchang qingniandian	1
mingo county	1
slope county	1
washington	33
frankfurt am main	3
united states	43
hot spring county	5
fort delaware state park	1
browning no. 34	1
amazon institute of scientific research	1
cape may county	1
mississippi	2
south dakota	3
arrondissement de cerca la source	1
bangladesh	1
new jersey	1
swift current no. 137	1
hood river county	1
mono lake tufa state natural reserve	1
rapid creek	1
summit county	2
douar raoud ou add	1
barrow county	2
regiÃ_n metropolitana de santiago	1
village of silver creek	1
township of missouri river	3
"southern nations, nationalities, and people's region"	1
parada 170	1
red roof inn washington dc - bwi airport	1
glacier county	2
moscow oblast	1
federal republic of nigeria	2
kilÃ_metro 63	2
info	5
mountain pass	1
irish omerbane	2
saint-mars-du-dÃ©sert	1
isidro ayora	1
fort collins	1
santa fe	1
republic of indonesia	1
parish of saint catherine	1
williamson river access park	1
cleveland county	1
lake michigan beach	1
northern rocky mountains park	1
bigfork	1
naval shipyard puget sound	1
ladue	1
kenai peninsula borough	1
berlin brandenburg airport	1
h2 avila hotel	1
lot 59	3
soda lake mining district	1
palo pinto county	1
pasadena	1
rich county	1
san antonio	1
nice	11
ellisville	1
st george	1
kansas	1
republic of chile	1
san luis potosÃ_	1
baltimore county	1
houston county	2
city of mountain home	1
san pedro river	1
santa cruz de la sierra	2
franklin square	1
right whale rocks	1
city of montreal	2
mount saint vidgeon	1
kilauea	1
fairmont banff springs junior mountain view suite preview	1
northern california coast range preserve (nccrp)	1
missouri	4
kingdom of spain	2
